sales_date,product_code,customer_code,promotion_code,channel_code,quantity,unit_price,region
2018-01-01,11,1036,1,1,8,21500,광주
2018-01-01,40,1854,2,2,4,35900,대구
2018-01-01,6,2056,2,1,1,28000,창원
2018-01-01,4,1462,3,1,1,20000,창원
2018-01-01,25,1221,3,1,6,12900,대구
2018-01-02,40,1734,2,1,1,35900,부산
2018-01-02,40,2186,3,2,5,35900,오산
2018-01-02,25,1073,1,1,10,12900,통영
2018-01-03,11,1676,4,2,6,21500,동해
2018-01-03,25,1304,1,1,1,12900,서울
2018-01-03,7,1963,3,1,1,22000,서울
2018-01-03,12,1972,2,1,2,32000,진주
2018-01-03,2,1131,1,1,9,6500,부산
2018-01-04,26,1546,3,1,1,5200,서울
2018-01-04,1,1795,4,1,1,15000,고양
2018-01-04,1,1380,2,1,2,15000,남양주
2018-01-04,25,1317,4,1,4,12900,인천
2018-01-04,8,1022,1,1,10,2000,서울
2018-01-05,2,2051,4,2,1,6500,서울
2018-01-05,2,1714,1,2,2,6500,서울
2018-01-05,25,1972,2,2,2,12900,진주
2018-01-05,32,2182,2,2,2,9900,김해
2018-01-05,27,1187,1,2,8,12000,과천
2018-01-06,1,1144,2,2,8,15000,용인
2018-01-06,1,1886,1,1,1,15000,서울
2018-01-06,33,1383,1,1,2,21000,울산
2018-01-06,30,1912,3,1,5,21400,담양
2018-01-06,8,2189,3,1,7,2000,속초
2018-01-06,12,1060,4,1,8,32000,대전
2018-01-07,11,1344,2,1,3,21500,안성
2018-01-07,33,1359,2,2,3,21000,서울
2018-01-07,9,2097,1,1,1,25000,대구
2018-01-07,1,1836,3,1,3,15000,인천
2018-01-07,7,1513,2,1,5,22000,수원
2018-01-08,27,1110,1,1,6,12000,창원
2018-01-08,3,1306,3,1,1,7800,광주
2018-01-08,25,1222,3,1,15,12900,울산
2018-01-08,9,1115,1,1,4,25000,안양
2018-01-09,33,1464,2,1,1,21000,제천
2018-01-09,3,2120,2,2,1,7800,용인
2018-01-09,12,1332,3,2,1,32000,인천
2018-01-09,2,1865,2,2,3,6500,서울
2018-01-09,39,1227,2,1,12,9900,과천
2018-01-10,16,1741,1,1,1,50000,서울
2018-01-10,3,1656,4,1,1,7800,서울
2018-01-10,25,1148,1,1,8,12900,서울
2018-01-11,16,1995,4,2,2,50000,청주
2018-01-11,2,2025,1,1,1,6500,밀양
2018-01-11,8,1868,3,1,1,2000,서울
2018-01-12,12,1124,2,1,8,32000,대전
2018-01-12,5,1983,1,1,1,7200,성남
2018-01-12,23,2135,2,1,1,43000,수원
2018-01-12,7,1708,1,1,1,22000,대전
2018-01-13,12,1648,2,2,1,32000,서울
2018-01-13,16,1096,4,1,1,50000,나주
2018-01-13,9,1413,1,1,4,25000,공주
2018-01-13,41,1855,1,1,4,14800,동두천
2018-01-14,18,1074,2,1,10,500,고양
2018-01-14,41,1730,1,1,1,14800,서울
2018-01-14,41,1613,1,2,2,14800,서울
2018-01-14,12,1733,2,2,2,32000,대전
2018-01-15,21,1229,3,2,12,78900,안산
